run_id,arquitectura,semilla_particion,semilla_entrenamiento,mejor_epoca,val_loss,val_accuracy,val_macro_f1,precision_plastico,recall_plastico,f1_plastico,precision_vidrio,recall_vidrio,f1_vidrio,tflite_bytes,latencia_p50_ms,latencia_p95_ms
efficientnetb0_20260809_004420_split42_seed1,efficientnetb0,42,1,12,0.30109524726867676,0.8743718862533569,0.8741685003920379,0.8504672897196262,0.91,0.8792270531400966,0.9021739130434783,0.8383838383838383,0.869109947643979,4911808,12.308599980315194,13.157234992831945
efficientnetb0_20260809_004420_split42_seed2,efficientnetb0,42,2,15,0.26037517189979553,0.8844221234321594,0.884129515708463,0.8532110091743119,0.93,0.8899521531100477,0.9222222222222223,0.8383838383838383,0.8783068783068783,4911808,12.813800014555454,14.226090000011027
efficientnetb0_20260809_004420_split42_seed3,efficientnetb0,42,3,16,0.2770146429538727,0.8743718862533569,0.8741685003920379,0.8504672897196262,0.91,0.8792270531400966,0.9021739130434783,0.8383838383838383,0.869109947643979,4911808,13.345750019652769,17.891314980806783
mobilenetv2_20260809_004420_split42_seed1,mobilenetv2,42,1,27,0.31547027826309204,0.8944723606109619,0.8944723618090452,0.898989898989899,0.89,0.8944723618090452,0.89,0.898989898989899,0.8944723618090452,2707576,8.820200018817559,9.56050499517005
mobilenetv2_20260809_004420_split42_seed2,mobilenetv2,42,2,18,0.29582834243774414,0.9145728349685669,0.9145383352279906,0.9368421052631579,0.89,0.9128205128205129,0.8942307692307693,0.9393939393939394,0.9162561576354681,2707576,10.059399995952845,11.424250036361626
mobilenetv2_20260809_004420_split42_seed3,mobilenetv2,42,3,23,0.3346860110759735,0.8994975090026855,0.8994340004042856,0.8846153846153846,0.92,0.9019607843137256,0.9157894736842105,0.8787878787878788,0.8969072164948454,2707576,8.972099982202053,9.690165024949238
mobilenetv3large_20260809_004420_split42_seed1,mobilenetv3large,42,1,22,0.15045064687728882,0.9447236061096191,0.9447236180904524,0.9494949494949495,0.94,0.9447236180904524,0.94,0.9494949494949495,0.9447236180904524,3486408,19.636600016383454,22.766294979373924
mobilenetv3large_20260809_004420_split42_seed2,mobilenetv3large,42,2,23,0.18636274337768555,0.929648220539093,0.9296322489391796,0.9479166666666666,0.91,0.9285714285714285,0.912621359223301,0.9494949494949495,0.9306930693069307,3486408,20.16675000777468,21.91752500657458
mobilenetv3large_20260809_004420_split42_seed3,mobilenetv3large,42,3,17,0.20066344738006592,0.9346733689308167,0.9346469622331691,0.9578947368421052,0.91,0.9333333333333333,0.9134615384615384,0.9595959595959596,0.9359605911330049,3486408,26.970199978677556,27.405314994393848
