epoch,fase,loss,accuracy,val_loss,val_accuracy,val_macro_f1
1,cabeza,0.34810760617256165,0.8499716520309448,0.4243320822715759,0.8190954923629761,0.8185410334346505
2,cabeza,0.23606188595294952,0.902665913105011,0.353651225566864,0.8190954923629761,0.8190543544150334
3,cabeza,0.22588776051998138,0.9094724655151367,0.31652992963790894,0.8542713522911072,0.8539024328498013
4,cabeza,0.22359758615493774,0.9096993803977966,0.32526955008506775,0.8592965006828308,0.8592644978783592
5,cabeza,0.22637352347373962,0.9087350964546204,0.3430509567260742,0.8542713522911072,0.8521204356181935
6,cabeza,0.221021831035614,0.911571204662323,0.384412556886673,0.8442211151123047,0.8415157353885678
7,cabeza,0.22378526628017426,0.9105501770973206,0.3890758454799652,0.8291457295417786,0.8275739041794087
8,cabeza,0.22945566475391388,0.906693160533905,0.30666759610176086,0.8693467378616333,0.8689463019250254
9,cabeza,0.2263231724500656,0.9090186953544617,0.3649972379207611,0.8291457295417786,0.8259415517596214
10,cabeza,0.22351029515266418,0.9091888666152954,0.3507692813873291,0.8341708779335022,0.8312909441233141
11,cabeza,0.22457996010780334,0.9089620113372803,0.35604041814804077,0.8341708779335022,0.8333460220784163
12,cabeza,0.22564058005809784,0.9117413759231567,0.41201579570770264,0.8341708779335022,0.8321190275327862
13,cabeza,0.22189094126224518,0.9119682312011719,0.3557465970516205,0.8291457295417786,0.8281694433157254
14,cabeza,0.22756154835224152,0.9088485240936279,0.35498112440109253,0.8341708779335022,0.83390242051749
15,ajuste,0.17929023504257202,0.9297220706939697,0.27588823437690735,0.8793969750404358,0.8790273556231003
16,ajuste,0.13523803651332855,0.9490640759468079,0.23985111713409424,0.8994975090026855,0.8993729773462783
17,ajuste,0.10808968544006348,0.9588201642036438,0.2145165503025055,0.929648220539093,0.9296322489391796
18,ajuste,0.08806131780147552,0.9663074016571045,0.19447961449623108,0.9246231317520142,0.9246155011743314
19,ajuste,0.0678648054599762,0.9751560091972351,0.1781526356935501,0.9346733689308167,0.9346733668341709
20,ajuste,0.05892689898610115,0.9783324003219604,0.16688783466815948,0.9346733689308167,0.9346667676844206
21,ajuste,0.05179447680711746,0.9810550212860107,0.17302849888801575,0.9396985173225403,0.9396604002425712
22,ajuste,0.04467102140188217,0.9844015836715698,0.15045064687728882,0.9447236061096191,0.9447236180904524
23,ajuste,0.03565458953380585,0.9865570068359375,0.16104057431221008,0.9447236061096191,0.9446341401724967
24,ajuste,0.029934579506516457,0.989336371421814,0.14893732964992523,0.9396985173225403,0.939684784805011
25,ajuste,0.024532003328204155,0.9904707670211792,0.14390680193901062,0.9447236061096191,0.9447012757357585
26,ajuste,0.020591985434293747,0.9926261901855469,0.15662454068660736,0.9396985173225403,0.9396604002425712
27,ajuste,0.0168361347168684,0.9938173294067383,0.16580119729042053,0.9447236061096191,0.9446341401724967
28,ajuste,0.014004134573042393,0.9951786994934082,0.15028081834316254,0.929648220539093,0.9296322489391796
