epoch,fase,loss,accuracy,val_loss,val_accuracy,val_macro_f1
1,cabeza,0.38065293431282043,0.8283040523529053,0.53316730260849,0.7638190984725952,0.7618708149807776
2,cabeza,0.28563007712364197,0.8808848261833191,0.5423179268836975,0.7437185645103455,0.7436927039927268
3,cabeza,0.2770722806453705,0.8865569829940796,0.4918767511844635,0.7587939500808716,0.758495145631068
4,cabeza,0.2673550546169281,0.8889960050582886,0.5529232025146484,0.7286432385444641,0.7270926452661519
5,cabeza,0.2653588652610779,0.8896199464797974,0.5284501314163208,0.7788944840431213,0.7784412955465587
6,cabeza,0.2716527581214905,0.8883720636367798,0.5589415431022644,0.7839195728302002,0.7812460055730245
7,cabeza,0.2612464129924774,0.8921157121658325,0.5572758316993713,0.7487437129020691,0.748686603354213
8,cabeza,0.27194496989250183,0.8882019519805908,0.49038419127464294,0.80402010679245,0.8035239614186982
9,cabeza,0.2639867663383484,0.8931366801261902,0.5146703124046326,0.7688442468643188,0.7686982009298564
10,cabeza,0.2685517966747284,0.8911514282226562,0.49875977635383606,0.7989949584007263,0.7989898989898989
11,cabeza,0.25929006934165955,0.8954622745513916,0.47917255759239197,0.7788944840431213,0.778754800889428
12,cabeza,0.261329710483551,0.8917186856269836,0.4750976860523224,0.80402010679245,0.8033048635223154
13,cabeza,0.2647160589694977,0.89132159948349,0.5293911099433899,0.7688442468643188,0.7675233644859814
14,cabeza,0.27022287249565125,0.8911514282226562,0.49696940183639526,0.7889447212219238,0.7889393939393939
15,ajuste,0.20583884418010712,0.9187180995941162,0.3583170771598816,0.8190954923629761,0.818871359223301
16,ajuste,0.13712434470653534,0.9476460814476013,0.40279898047447205,0.8090452551841736,0.8084599797365755
17,ajuste,0.09778980165719986,0.9638116955757141,0.4377283751964569,0.8291457295417786,0.8272216547497446
18,ajuste,0.07720403373241425,0.9692569375038147,0.43594348430633545,0.8341708779335022,0.8312909441233141
19,ajuste,0.06446453183889389,0.9753828644752502,0.36675629019737244,0.8542713522911072,0.853069226264735
20,ajuste,0.055689916014671326,0.9780488014221191,0.32805687189102173,0.8643215894699097,0.8643079021137965
21,ajuste,0.047886304557323456,0.981338620185852,0.40425270795822144,0.8492462038993835,0.8475485188968335
22,ajuste,0.03943725675344467,0.9858196377754211,0.3609987199306488,0.8442211151123047,0.8436525838254303
23,ajuste,0.030638353899121284,0.9897333979606628,0.3912945091724396,0.8643215894699097,0.8634388105223026
24,ajuste,0.02756732888519764,0.9910380244255066,0.2584250271320343,0.8844221234321594,0.8843169467964109
25,ajuste,0.023627765476703644,0.9917186498641968,0.4240691661834717,0.8442211151123047,0.8422936319247387
26,ajuste,0.020274760201573372,0.9934770464897156,0.31638431549072266,0.8944723606109619,0.8943763427271578
27,ajuste,0.017760591581463814,0.9937039017677307,0.31547027826309204,0.8944723606109619,0.8944723618090452
28,ajuste,0.016059929504990578,0.994668185710907,0.3097233772277832,0.8944723606109619,0.8944723618090452
29,ajuste,0.016140561550855637,0.9939308166503906,0.3255460262298584,0.8944723606109619,0.8944617016440639
30,ajuste,0.01150516141206026,0.9967668652534485,0.402372807264328,0.8643215894699097,0.8632023830740636
31,ajuste,0.01047348603606224,0.9959160685539246,0.3686984181404114,0.8793969750404358,0.8787078423405119
32,ajuste,0.011530470103025436,0.9961996674537659,0.3660323917865753,0.8944723606109619,0.8942052099946837
33,ajuste,0.00968234334141016,0.9965400099754333,0.46816486120224,0.8442211151123047,0.8432075231922734
