epoch,accuracy,loss,val_accuracy,val_loss
0,0.9160088896751404,0.21310248970985413,0.9548259973526001,0.14402920007705688
1,0.959399938583374,0.108982153236866,0.9664280414581299,0.1082126647233963
2,0.9723082184791565,0.07350999861955643,0.9721056818962097,0.09515877813100815
3,0.9807248115539551,0.054802898317575455,0.9772895574569702,0.08447534590959549
4,0.9856961965560913,0.03967636078596115,0.9782769680023193,0.07617723941802979
5,0.9880074858665466,0.03374722599983215,0.9817329049110413,0.07448820769786835
6,0.991365373134613,0.025117862969636917,0.9782769680023193,0.08374880999326706
7,0.992935299873352,0.022313285619020462,0.9775364398956299,0.09493421763181686
8,0.9940691590309143,0.0191399734467268,0.9846951365470886,0.06761731952428818
9,0.9943308234214783,0.017203498631715775,0.9824734926223755,0.07794366776943207
