epoch,accuracy,loss,val_accuracy,val_loss
0,0.914375901222229,0.21091210842132568,0.9487841725349426,0.16784851253032684
1,0.9595452547073364,0.1062779501080513,0.9685818552970886,0.09748542308807373
2,0.9705714583396912,0.07677654922008514,0.974822461605072,0.08330845832824707
3,0.981179416179657,0.05209269002079964,0.9737464785575867,0.0875956267118454
4,0.9845253229141235,0.04383409395813942,0.9829998016357422,0.06593920290470123
5,0.9896201491355896,0.029683370143175125,0.9842909574508667,0.06684873253107071
6,0.9907608032226562,0.02722048945724964,0.9829998016357422,0.06734897941350937
7,0.9917873740196228,0.023693202063441277,0.9713793992996216,0.10484055429697037
8,0.9924337267875671,0.020482691004872322,0.982138991355896,0.0742313489317894
9,0.9946770071983337,0.01512883510440588,0.9789111018180847,0.08743852376937866
