epoch,fase,loss,accuracy,val_loss,val_accuracy,val_macro_f1
1,cabeza,0.308623731136322,0.8687464594841003,0.5559899210929871,0.7587939500808716,0.7527950310559006
2,cabeza,0.21837949752807617,0.914010226726532,0.46511930227279663,0.7638190984725952,0.7629571432192006
3,cabeza,0.20490607619285583,0.9180374145507812,0.4557223916053772,0.7839195728302002,0.7835698206743051
4,cabeza,0.19860471785068512,0.9238230586051941,0.445037305355072,0.7939698696136475,0.7926293048672004
5,cabeza,0.19276657700538635,0.9242768287658691,0.5345152020454407,0.6633166074752808,0.6443110577564359
6,cabeza,0.19305607676506042,0.9231423735618591,0.4403609335422516,0.7638190984725952,0.7590488703403149
7,cabeza,0.1939830482006073,0.9225751757621765,0.4575059711933136,0.7437185645103455,0.7392678227360308
8,cabeza,0.18491755425930023,0.9255246520042419,0.5541836619377136,0.6482412219047546,0.6168023767605634
9,cabeza,0.1902015060186386,0.9250141978263855,0.5018497109413147,0.733668327331543,0.7274747422547221
10,cabeza,0.19138659536838531,0.9244469404220581,0.44791489839553833,0.7738693356513977,0.7693021099003013
11,ajuste,0.1635451316833496,0.9360748529434204,0.41543951630592346,0.7587939500808716,0.751973410884919
12,ajuste,0.12303058803081512,0.9534316658973694,0.3617457151412964,0.8241205811500549,0.8223259610724216
13,ajuste,0.10050152242183685,0.9633011817932129,0.3340456485748291,0.8442211151123047,0.8432075231922734
14,ajuste,0.0867338702082634,0.9694271087646484,0.33706530928611755,0.839195966720581,0.837385086823289
15,ajuste,0.07163352519273758,0.9747022390365601,0.26037517189979553,0.8844221234321594,0.884129515708463
16,ajuste,0.06564480811357498,0.9750992655754089,0.3171640932559967,0.8592965006828308,0.8580020387359837
17,ajuste,0.056622087955474854,0.9794101119041443,0.31777745485305786,0.8592965006828308,0.8580020387359837
18,ajuste,0.04833553358912468,0.9829268455505371,0.31338831782341003,0.8442211151123047,0.8422936319247387
19,ajuste,0.04364002123475075,0.9837209582328796,0.2904035449028015,0.8743718862533569,0.8735544541873175
20,ajuste,0.03892430663108826,0.9874645471572876,0.28591686487197876,0.8643215894699097,0.8632023830740636
21,ajuste,0.0372312068939209,0.9871809482574463,0.27588412165641785,0.8693467378616333,0.8683862433862435
