epoch,fase,loss,accuracy,val_loss,val_accuracy,val_macro_f1
1,cabeza,0.37599799036979675,0.8305161595344543,0.5074758529663086,0.7587939500808716,0.7587391392200444
2,cabeza,0.28304386138916016,0.882246196269989,0.4918322265148163,0.7688442468643188,0.7686982009298564
3,cabeza,0.26993438601493835,0.8910947442054749,0.529790461063385,0.7487437129020691,0.7485850010107136
4,cabeza,0.26512107253074646,0.8879182934761047,0.6009553074836731,0.7085427045822144,0.7012939958592133
5,cabeza,0.2661135792732239,0.889563262462616,0.4637138843536377,0.8190954923629761,0.8180617635107681
6,cabeza,0.27082669734954834,0.8915485143661499,0.5630924701690674,0.7386934757232666,0.7372003250711092
7,cabeza,0.2636718153953552,0.8911514282226562,0.48362475633621216,0.7788944840431213,0.778888888888889
8,cabeza,0.2702507972717285,0.8912081718444824,0.5641655325889587,0.7738693356513977,0.7723980175371712
9,cabeza,0.26644474267959595,0.8906409740447998,0.49991509318351746,0.7537688612937927,0.7512563455013903
10,cabeza,0.2692893445491791,0.8917186856269836,0.4693959057331085,0.8090452551841736,0.8090018185492018
11,cabeza,0.2705569863319397,0.8882019519805908,0.4747495651245117,0.7889447212219238,0.7889393939393938
12,ajuste,0.2042677253484726,0.916222333908081,0.3912074863910675,0.8190954923629761,0.8177655677655677
13,ajuste,0.1302463412284851,0.9496880173683167,0.4043354392051697,0.8241205811500549,0.8226697558367493
14,ajuste,0.10075128078460693,0.9612025022506714,0.3720329701900482,0.8442211151123047,0.8440793630734236
15,ajuste,0.07913258671760559,0.9707884192466736,0.37124818563461304,0.8442211151123047,0.8426315655212877
16,ajuste,0.06490069627761841,0.9761202335357666,0.3346703052520752,0.8643215894699097,0.8643079021137965
17,ajuste,0.05588794872164726,0.9790130257606506,0.40759706497192383,0.8341708779335022,0.8317232543241512
18,ajuste,0.04678988829255104,0.9829268455505371,0.2950733006000519,0.8793969750404358,0.8793208004851425
19,ajuste,0.03822418302297592,0.9865002632141113,0.3869561553001404,0.8743718862533569,0.8737469864230427
20,ajuste,0.032589465379714966,0.9883153438568115,0.296403169631958,0.8994975090026855,0.8992914979757085
21,ajuste,0.02722153067588806,0.9896767139434814,0.593761682510376,0.7638190984725952,0.7558282208588958
22,ajuste,0.024979742243885994,0.9908678531646729,0.4080846607685089,0.8442211151123047,0.8432075231922734
23,ajuste,0.018467672169208527,0.993987500667572,0.3346860110759735,0.8994975090026855,0.8994340004042856
24,ajuste,0.017755649983882904,0.9929665327072144,0.3820156455039978,0.8643215894699097,0.8634388105223026
25,ajuste,0.015615934506058693,0.9940442442893982,0.35833191871643066,0.8743718862533569,0.8739133740527663
26,ajuste,0.013815203681588173,0.9958025813102722,0.45108354091644287,0.8442211151123047,0.8429360694554064
27,ajuste,0.012509441003203392,0.9958593249320984,0.33651062846183777,0.8743718862533569,0.8739133740527663
28,ajuste,0.012113594450056553,0.9958025813102722,0.3743675947189331,0.8994975090026855,0.8992914979757085
29,ajuste,0.008781182579696178,0.9970504641532898,0.3604424297809601,0.8743718862533569,0.874257550865664
